date_time, altidute_km, x_km, y_km, z_km
2020-10-26 23:1:35.472231146, 556.9136117035187, -1682.7554747176885, 6144.140138582277, -2732.4983450265713
2020-10-26 23:1:37.337231148, 556.8804991600086, -1692.8026279729627, 6145.7395415543515, -2722.654800376828
2020-10-26 23:1:39.202231150, 556.847422165152, -1702.8426815024895, 6147.313296716496, -2712.7999007954395
2020-10-26 23:1:41.106231152, 556.8136905614406, -1713.0853203544796, 6148.893496739657, -2702.7272494813355
2020-10-26 23:1:42.971231153, 556.7806866117544, -1723.1108979821392, 6150.415399944146, -2692.8495286025086
2020-10-26 23:1:44.836231155, 556.7477194011317, -1733.1292492955474, 6151.911635762431, -2682.960577588743
2020-10-26 23:1:46.701231157, 556.7147893220749, -1743.1403324440694, 6153.382197929723, -2673.060437853437
2020-10-26 23:1:48.566231159, 556.6818967662839, -1753.1441056129552, 6154.827080289837, -2663.1491508518125
2020-10-26 23:1:50.430231161, 556.649059730853, -1763.1351689839917, 6156.24552271477, -2653.2320813723
2020-10-26 23:1:52.294231163, 556.6162609584069, -1773.1188467868924, 6157.638300890858, -2643.303959517321
2020-10-26 23:1:54.158231165, 556.5835008376062, -1783.095097366402, 6159.0054089946825, -2633.3648268155853
2020-10-26 23:1:56.22231167, 556.5507797562957, -1793.0638790983776, 6160.346841310487, -2623.4147248421173
2020-10-26 23:1:57.886231168, 556.5180981015294, -1803.025150384625, 6161.662592229489, -2613.45369522348
2020-10-26 23:1:59.750231170, 556.4854562594571, -1812.9788696744033, 6162.952656252705, -2603.4817796161988
2020-10-26 23:2:1.574231171, 556.4535537968713, -1822.7116392671085, 6164.190165334982, -2593.7133556276044
2020-10-26 23:2:3.437231173, 556.421009318519, -1832.6449644307693, 6165.428733069545, -2583.7253887311817
2020-10-26 23:2:5.300231175, 556.3885057541147, -1842.5706222440776, 6166.641625736187, -2573.7266717509547
2020-10-26 23:2:7.163231177, 556.3560434859055, -1852.4885713391689, 6167.828838271344, -2563.717246468028
2020-10-26 23:2:9.26231179, 556.3236228952783, -1862.3987703804287, 6168.990365719044, -2553.6971547085127
2020-10-26 23:2:10.889231180, 556.2912443627829, -1872.3011780594404, 6170.12620323034, -2543.666438348699
2020-10-26 23:2:12.752231182, 556.2589082680543, -1882.1957531162968, 6171.236346065738, -2533.6251392934405
2020-10-26 23:2:14.615231184, 556.2266149899071, -1892.0824543079596, 6172.320789591573, -2523.5732995081994
2020-10-26 23:2:16.477231186, 556.1943822054398, -1901.9559399374346, 6173.378967879794, -2513.516364953942
2020-10-26 23:2:18.339231188, 556.1621929455434, -1911.8214778864603, 6174.411465509109, -2503.448984922674
2020-10-26 23:2:20.201231190, 556.1300475857643, -1921.6790270828935, 6175.418278176428, -2493.3712014391235
2020-10-26 23:2:22.63231192, 556.0979465007642, -1931.5285464880785, 6176.399401686185, -2483.283056571659
2020-10-26 23:2:23.925231193, 556.0658900643105, -1941.369995091655, 6177.354831949826, -2473.1845924375802
2020-10-26 23:2:25.787231195, 556.0338786492289, -1951.2033319328468, 6178.284564987891, -2463.0758511812924
2020-10-26 23:2:27.649231197, 556.0019126274788, -1961.0285160691026, 6179.1885969269515, -2452.9568750064745
2020-10-26 23:2:29.510231199, 555.9700095007438, -1970.8402365206657, 6180.0664591894765, -2442.8331488228423
2020-10-26 23:2:31.371231201, 555.9381524587416, -1980.6437313593408, 6180.9186405383325, -2432.6992831232337
2020-10-26 23:2:33.232231203, 555.9063418700707, -1990.4389598164232, 6181.745137429062, -2422.5553201661537
2020-10-26 23:2:35.93231205, 555.8745781023963, -2000.2258811576646, 6182.5459464246105, -2412.401302252537
2020-10-26 23:2:36.954231206, 555.8428615224607, -2010.0044546784188, 6183.3210641949445, -2402.237271730841
2020-10-26 23:2:38.815231208, 555.8111924960235, -2019.774639724672, 6184.07048751872, -2392.0632709751562
2020-10-26 23:2:40.714231210, 555.7789262142107, -2029.7356341204554, 6184.80872339144, -2381.67129233172
2020-10-26 23:2:42.575231212, 555.7473543780411, -2039.488746987421, 6185.506223770724, -2371.477277033987
