date_time, altidute_km, x_km, y_km, z_km
2020-10-26 22:1:48.823811731, 554.5645728163146, -2286.60087026829, -3775.3040754335148, 5329.619722420125
2020-10-26 22:1:50.693811733, 554.5564367734719, -2277.027417877422, -3785.309824409152, 5326.6284840392
2020-10-26 22:1:52.563811735, 554.5482459428778, -2267.44444012234, -3795.299768659288, 5323.614924290407
2020-10-26 22:1:54.475811737, 554.5398146931932, -2257.636422609945, -3805.497701333779, 5320.510614310567
2020-10-26 22:1:56.345811739, 554.5315136254728, -2248.0343022067595, -3815.455553639625, 5317.451948727724
2020-10-26 22:1:58.215811741, 554.5231583351509, -2238.4227771834176, -3825.3974752472222, 5314.37099977713
2020-10-26 22:2:1.811743, 554.510614659383, -2224.09093999158, -3840.174407174618, 5309.741249271212
2020-10-26 22:2:2.870811744, 554.5021252183025, -2214.4561779331357, -3850.076492113996, 5306.60488583747
2020-10-26 22:2:4.740811746, 554.4935822213928, -2204.812151089814, -3859.96250167289, 5303.446283954451
2020-10-26 22:2:6.610811748, 554.4849858625603, -2195.1588996309, -3869.8323945277425, 5300.265456704778
2020-10-26 22:2:8.480811750, 554.4763363369556, -2185.496463759184, -3879.6861294263567, 5297.062417261685
2020-10-26 22:2:10.350811752, 554.4676338409759, -2175.824883715781, -3889.523665182939, 5293.837178890582
2020-10-26 22:2:12.220811754, 554.458878572256, -2166.144199780155, -3899.344960678074, 5290.589754949064
2020-10-26 22:2:14.90811756, 554.4500707296662, -2156.454452269815, -3909.149974859037, 5287.32015888681
2020-10-26 22:2:15.960811757, 554.4412105133231, -2146.7556815454636, -3918.9386667346207, 5284.02840424735
2020-10-26 22:2:17.830811759, 554.4322981245548, -2137.047927989946, -3928.7109953963604, 5280.714504660904
2020-10-26 22:2:19.700811761, 554.4233337659227, -2127.331232039334, -3938.4669199871637, 5277.3784738549275
2020-10-26 22:2:21.570811763, 554.4143176412244, -2117.6056341619815, -3948.206399722489, 5274.020325647041
2020-10-26 22:2:23.440811765, 554.4052499554588, -2107.871174863462, -3957.9293938853248, 5270.640073946676
2020-10-26 22:2:25.310811767, 554.3961309148559, -2098.127894686541, -3967.6358618262584, 5267.237732755085
2020-10-26 22:2:27.179811769, 554.3869656443201, -2088.381051555724, -3977.3205856328486, 5263.8151533009
2020-10-26 22:2:29.48811771, 554.3777494893784, -2078.6254780657823, -3986.988719901026, 5260.37053621411
2020-10-26 22:2:30.917811772, 554.3684826595527, -2068.86121480985, -3996.640224245, 5256.9038957499
2020-10-26 22:2:32.786811774, 554.3591653655433, -2059.088302401849, -4006.2750583625557, 5253.415246249294
2020-10-26 22:2:34.655811776, 554.349797819261, -2049.306781507538, -4015.8931820043895, 5249.904602150173
2020-10-26 22:2:36.524811778, 554.3403802338133, -2039.5166928235744, -4025.4945549948206, 5246.371977979865
2020-10-26 22:2:38.393811780, 554.3309128234854, -2029.7180770824684, -4035.0791372268686, 5242.817388356895
2020-10-26 22:2:40.262811782, 554.3213958037493, -2019.9109750525436, -4044.64688866233, 5239.240847990965
2020-10-26 22:2:42.131811784, 554.3118293912696, -2010.0954275376305, -4054.1977693320628, 5235.642371682873
2020-10-26 22:2:44.811786, 554.3022138038712, -2000.2714753770038, -4063.73173933605, 5232.021974324455
2020-10-26 22:2:45.869811787, 554.292549260566, -1990.4391594504639, -4073.2487588385043, 5228.379670900507
2020-10-26 22:2:47.738811789, 554.282835981521, -1980.5985206570876, -4082.7487880884228, 5224.715476480897
2020-10-26 22:2:49.607811791, 554.2730741880833, -1970.7495999466585, -4092.231787389168, 5221.029406232213
2020-10-26 22:2:51.476811793, 554.2632641027619, -1960.8924382984922, -4101.697717118992, 5217.321475409925
2020-10-26 22:2:53.345811795, 554.2534059492106, -1951.0270767264162, -4111.1465377261875, 5213.591699360234
2020-10-26 22:2:55.255811797, 554.2432821111665, -1940.9368710545607, -4120.7849185235655, 5209.757550476714
2020-10-26 22:2:57.124811799, 554.2333274547336, -1931.0550551956999, -4130.199025018584, 5205.9836520118415
2020-10-26 22:2:58.993811800, 554.223325412974, -1921.1651635681048, -4139.595903290009, 5202.187955247861
2020-10-26 22:3:1.811802, 554.2125323555305, -1910.536093901242, -4149.667383982768, 5198.087744314611
2020-10-26 22:3:2.868811803, 554.2024381895033, -1900.6348882029263, -4159.023404730068, 5194.248952468741
2020-10-26 22:3:4.736811805, 554.1922973932801, -1890.725741807176, -4168.362095364904, 5190.388434159321
2020-10-26 22:3:6.604811807, 554.1821101982699, -1880.808695907593, -4177.683416894417, 5186.506205351181
2020-10-26 22:3:8.472811809, 554.1718768369932, -1870.883791725789, -4186.987330401787, 5182.60228209722
2020-10-26 22:3:10.340811811, 554.1615975430892, -1860.9510705162759, -4196.273797041605, 5178.676680540314
2020-10-26 22:3:12.208811813, 554.1512725513185, -1851.0105735664322, -4205.542778039908, 5174.729416913304
2020-10-26 22:3:14.76811815, 554.1409020975505, -1841.0623421963946, -4214.7942346942955, 5170.760507538952
2020-10-26 22:3:15.944811816, 554.1304864187709, -1831.1064177640264, -4224.028128369319, 5166.769968831956
2020-10-26 22:3:17.812811818, 554.120025753045, -1821.1428416436408, -4233.244420516216, 5162.757817290394
2020-10-26 22:3:19.680811820, 554.1095203395685, -1811.1716552576772, -4242.443072643546, 5158.724069508448
2020-10-26 22:3:21.548811822, 554.0989704186127, -1801.1929000552805, -4251.624046337052, 5154.668742167808
2020-10-26 22:3:23.416811824, 554.0883762315514, -1791.2066175174077, -4260.787303254949, 5150.5918520397345
2020-10-26 22:3:25.284811826, 554.0777380208378, -1781.2128491567662, -4269.93280512796, 5146.493415985027
2020-10-26 22:3:27.152811828, 554.0670560300151, -1771.2116365175016, -4279.06051375963, 5142.373450953906
2020-10-26 22:3:29.20811830, 554.0563305036972, -1761.203021175158, -4288.1703910263495, 5138.231973985995
2020-10-26 22:3:30.888811831, 554.0455616875882, -1751.187044741778, -4297.262398872758, 5134.069002212454
2020-10-26 22:3:32.755811833, 554.0347556278417, -1741.1691165851573, -4306.331646473161, 5129.886798658934
